gss_code,electorate2017,electorate2018
W07000054,"64,716","64,701"
W07000063,"47,664","47,120"
W07000069,"55,513","55,427"
W07000055,"57,590","56,115"
W07000056,"65,836","63,280"
W07000074,"56,882","55,938"
W07000075,"58,690","58,102"
W07000065,"56,831","56,542"
W07000052,"49,323","48,819"
W07000048,"57,923","56,395"
W07000047,"55,903","53,169"
W07000053,"61,228","61,043"
W07000060,"55,694","55,499"
W07000078,"73,359","73,510"
W07000044,"49,726","49,511"
W07000041,"51,393","50,332"
S14000001,"60,872","58,620"
S14000002,"63,857","62,067"
S14000003,"63,073","62,425"
S14000004,"62,990","62,706"
S14000005,"66,142","64,982"
S14000006,"71,098","70,865"
S14000007,"67,203","66,550"
S14000008,"73,018","71,987"
S14000009,"46,584","46,407"
S14000010,"68,917","68,890"
S14000011,"70,944","70,744"
S14000012,"65,019","64,373"
S14000013,"72,828","71,613"
S14000014,"66,753","65,945"
S14000015,"66,783","64,827"
S14000016,"64,056","61,190"
S14000017,"75,475","75,147"
S14000018,"66,182","65,385"
S14000019,"79,214","78,606"
S14000020,"77,908","77,984"
S14000021,"69,852","70,103"
S14000022,"62,371","61,410"
S14000023,"74,757","73,451"
S14000024,"61,759","60,945"
S14000025,"68,370","67,826"
S14000026,"70,186","70,259"
S14000028,"82,919","82,830"
S14000029,"63,253","63,526"
S14000030,"66,556","67,095"
S14000031,"52,931","52,059"
S14000032,"59,646","59,545"
S14000033,"63,369","62,918"
S14000034,"68,505","68,490"
S14000035,"63,272","63,578"
S14000036,"65,925","64,991"
S14000037,"78,532","77,858"
S14000038,"58,732","58,915"
S14000039,"76,446","76,398"
S14000040,"73,557","73,694"
S14000041,"72,304","71,754"
S14000042,"76,003","75,615"
S14000043,"85,694","85,436"
S14000044,"80,478","80,487"
S14000045,"67,974","68,336"
S14000046,"70,589","69,629"
S14000047,"67,123","67,009"
S14000027,"21,227","20,952"
S14000048,"73,242","72,819"
S14000049,"57,856","57,143"
S14000050,"76,756","76,866"
S14000051,"33,975","33,751"
S14000052,"67,646","70,297"
S14000053,"61,101","63,305"
S14000054,"71,194","70,994"
S14000055,"53,300","53,220"
S14000056,"78,525","78,164"
S14000057,"66,419","65,761"
S14000058,"72,158","71,161"
S14000059,"67,225","65,917"
N06000001,"63,412","63,572"
N06000002,"68,262","68,522"
N06000003,"65,855","66,099"
N06000004,"62,402","62,921"
N06000005,"62,774","62,985"
N06000006,"67,049","67,284"
N06000007,"70,370","70,473"
N06000008,"70,530","71,187"
N06000009,"72,379","73,100"
N06000010,"68,391","68,552"
N06000011,"78,384","78,713"
N06000012,"75,408","75,469"
N06000013,"64,338","64,623"
N06000014,"68,298","68,820"
N06000015,"75,986","76,438"
N06000016,"64,344","64,766"
N06000017,"80,298","80,601"
N06000018,"63,820","64,295"
,,
"Source: Office for National Statistics, National Records of Scotland, Electoral Office for Northern Ireland.",,
